ticker,company_name,year
JPASSOCIAT,JAIPRAKASH ASSOCIATES LTD,2025
JPINFRATEC,Jaypee Infratech,2015
KFA,Kingfisher Airlines,2012
KOUTONS,Koutons Retail,2010
KSK,KSK Energy Ventures,2018
KSS,KSS Limited,2016
KWALITY,Kwality Limited,2016
LEEL,"LEEL.NS,0P0000BH66,0",2025
LITL,Lanco Infratech,2015
MADHUCON,MADHUCON PROJECTS LTD.,2025
MANDHANA,Mandhana Industries,2016
MBLINFRA,MBL INFRASTRUCTURE LTD,2025
MCLEODRUSS,MCLEOD RUSSEL INDIA LTD.,2025
METALFORGE,Amtek Metal & Mining,2016
MIRC,MIRC Electronics Limited,2015
MONNETISPA,monnet ispat,2016
MOSERBAER,Moser Baer India,2014
MTEDUCARE,MT EDUCARE LTD,2025
NAKODA,Nakoda Limited,2013
NATHBIOGEN,NATH BIO-GENES (I) LTD,2025
NITINFIRE,"NITINFIRE.NS,0P0000CAP1,0",2024
NOIDATOLL,NOIDA TOLL BRIDGE CO LTD,2025
OKARCHEM,Omkar Chem Ltd,2022
OMAXE,OMAXE LIMITED,2025
OMKARCHEM,OMKAR SPL CHEM LTD,2022
OPTOCIRCUI,Opto Circuits,2015
ORCHIDPHAR,Orchid Pharma,2016
ORTINLAB,Ortin Laboratories,2016
PARSVNATH,PARSVNATH DEVELOPER LTD,2025
PATELENG,PATEL ENGINEERING LTD.,2025
PFOCUS,Prime Focus Limited,2020
PLETHICO,Plethico Pharmaceuticals,2012
PRAJAY,Prajay Engineers Syndicate Limited,2017
PRATIBHA,Pratibha Industries,2016
PROVOGE,Provogue India,2016
PUNJLLOYD,Punj Lloyd,2016
RAJRAYON,Raj Rayon Industries,2016
RCOM,RELIANCE COMMUNICATIONS L,2025
RELINFRA,RELIANCE INFRASTRUCTU LTD,2025
RNAVAL,"RNAVAL.NS,0P0000N0EK,0",2025
ROLTA,Rolta India,2016
RUCHISOYA,Ruchi Soya Industries,2017
SABTN,Sri Adhikari Brothers,2016
SADBHAV,SADBHAV ENGINEERING LTD,2025
SADBHIN,Sadbhav Infrastructure Project Limited,2020
SECUREKLOUD,8K Miles Software Services Limited,2018
SEYAIND,Seya Industries Ltd,2025
SEZAL,Sezal Glass,2011
SHARONBIO,Sharon Bio-Medicine,2015
SHIRPUR-G,"SHIRPUR-G.NS,0P0000AHVM,0",2024
SIMPLEXINF,SIMPLEX INFRASTRUCTURES L,2025
SINTEX,Sintex Industries,2016
SITINET,SITI Networks Limited,2017
SKUMARSYNF,S Kumars Nationwide,2012
STERLINBIO,Sterling Biotech,2014
SUBEX,Subex Limited,2012
SUPREMEINF,SUPREME INFRA. LTD,2025
SURYAPHARM,Surya Pharmaceutical,2011
TALWALKARS,Talwalkars,2018
TREEHOUSE,Tree House Education & Accessories Limited,2016
TULIP,Tulip Telecom,2013
UJAAS,Ujaas Energy,2019
UNIPLY,Uniply Industries,2017
VAKRANGEE,Vakrangee Limited,2018
VICEROY,Viceroy Hotels,2017
VIDEOIND,"VIDEOIND.NS,0P0000AMCW,0",2024
VISASTEEL,VISA STEEL LIMITED,2025
ZEELEARN,Zee Learn Limited,2022
ZICOM,Zicom Electronic Security,2017
ZYLOG,Zylog Systems,2014
